,iso3,long,lat,SSP1,SSP3,SSP5
0,FIN8845.0,65.5,25.5,-0.005727073063511057,-0.003278558844482249,-0.07906747294082084
1,FIN9204.0,64.5,24.5,-0.0030279933195331257,-0.0030130010112949276,-0.06532753503735869
2,FIN9205.0,64.5,25.5,-0.05072719621711042,-0.04717187724296983,-0.1093778850569284
3,FIN9206.0,64.5,26.5,-0.14285414090638301,-0.14074987086959467,-0.2403262289740344
4,FIN9207.0,64.5,27.5,-0.015872226431857706,-0.015135891108493005,-0.01723476513111044
5,FIN9208.0,64.5,28.5,-5.7542647554426394e-05,0.0,-0.02825188424860738
6,FIN9561.0,63.5,21.5,-0.062417586643303366,-0.04301879968714582,-0.17732866669941608
7,FIN9562.0,63.5,22.5,-0.10282148002579508,-0.09406120321558095,-0.24551078215052727
8,FIN9563.0,63.5,23.5,-0.08083799141162122,-0.07849895020581187,-0.20407170354912882
9,FIN9564.0,63.5,24.5,-0.06636303671205113,-0.06131281286146877,-0.1761658514190166
10,FIN9565.0,63.5,25.5,-0.034330843517338804,-0.029335094488393252,-0.13934015145060052
11,FIN9566.0,63.5,26.5,-0.08389038164283726,-0.08086280842856965,-0.15524380489974096
12,FIN9567.0,63.5,27.5,-0.03294328013966614,-0.031016478566015776,-0.06291143136108347
13,FIN9568.0,63.5,28.5,-0.058503777491452406,-0.058892058875917246,-0.10842703459005287
14,FIN9569.0,63.5,29.5,-0.16233232419842777,-0.15879911425952173,-0.21386704567208173
15,FIN9570.0,63.5,30.5,-0.11675964042607445,-0.11436803885106295,-0.1552570504089792
16,FIN9921.0,62.5,21.5,0.0,0.0,0.0
17,FIN9922.0,62.5,22.5,0.0,0.0,-0.00973534089200001
18,FIN9923.0,62.5,23.5,-0.048814743598912094,-0.044548150020073264,-0.18502164071100957
19,FIN9924.0,62.5,24.5,-0.10083151095461025,-0.09861457240190637,-0.2359194962378124
20,FIN9925.0,62.5,25.5,-0.05010669537735295,-0.04386978324862311,-0.1628678586998383
21,FIN9926.0,62.5,26.5,-0.21301390207485055,-0.2126662254310372,-0.2911001819793577
22,FIN9927.0,62.5,27.5,-0.04082762998917942,-0.0394264252394315,-0.0725309978485707
23,FIN9928.0,62.5,28.5,-0.011802189927594941,-0.010130095062022506,-0.0605963532854742
24,FIN9929.0,62.5,29.5,-0.0006377643023213198,-0.0005889891432467875,-0.008934105145861682
25,FIN9930.0,62.5,30.5,-0.0003879062996780546,-0.0002626261082789545,-0.009256614659795444
26,FIN9931.0,62.5,31.5,-0.04940641270798543,-0.04538125013197041,-0.1129665836072449
27,FIN10281.0,61.5,21.5,-0.0326256934409217,-0.03069194343738979,-0.055513051610933783
28,FIN10282.0,61.5,22.5,-0.0188465985542714,-0.0188465985542714,-0.0188465985542714
29,FIN10283.0,61.5,23.5,0.0,0.0,0.0
30,FIN10284.0,61.5,24.5,0.0,0.0,0.0
31,FIN10285.0,61.5,25.5,0.004599838369134499,0.004599838369134499,0.004599838369134499
32,FIN10286.0,61.5,26.5,0.0,0.0,0.0
33,FIN10287.0,61.5,27.5,0.0,0.0,0.0
34,FIN10288.0,61.5,28.5,0.0,0.0,0.0
35,FIN10289.0,61.5,29.5,0.0,0.0,0.0
36,FIN10290.0,61.5,30.5,0.0,0.0,0.0
37,FIN10641.0,60.5,21.5,0.0,0.0,0.0
38,FIN10642.0,60.5,22.5,0.0,0.0,0.0
39,FIN10643.0,60.5,23.5,0.0,0.0,0.0
40,FIN10644.0,60.5,24.5,0.0,0.0,0.0
41,FIN10645.0,60.5,25.5,0.0,0.0,0.0
42,FIN10646.0,60.5,26.5,0.0,0.0,0.0
43,FIN10647.0,60.5,27.5,-0.057225227106168175,-0.08797703791837985,-0.1877455446309384
44,FIN10648.0,60.5,28.5,0.0,0.0,0.0
45,FIN11003.0,59.5,23.5,-5.130978669852595e-05,0.0,-0.09153598641411397
46,FIN11004.0,59.5,24.5,-0.006028616854806604,-0.002261812489937638,-0.06409875261832329
47,RUS9582.0,63.5,42.5,0.011248701363017923,0.007581938410174528,-0.029966137966812908
48,RUS9932.0,62.5,32.5,-0.09537378640579204,-0.09087495144028022,-0.20708433485207847
49,RUS9933.0,62.5,33.5,-0.05704248661969645,-0.05481592900522164,-0.14800597739231985
50,RUS9935.0,62.5,35.5,-0.024525987928692487,-0.023093866652898285,-0.0955133076587037
51,RUS9936.0,62.5,36.5,-0.03151567978881357,-0.029585671145675042,-0.08328771744245982
52,RUS9938.0,62.5,38.5,-0.014002594737835081,-0.012420476811540961,-0.11422341233815203
53,RUS9939.0,62.5,39.5,-0.0012562293118746348,-0.0012090976755262384,-0.012822547502222448
54,RUS9940.0,62.5,40.5,-0.03081808045035318,-0.023969314450200802,-0.08426218110424429
