,iso3,long,lat,SSP1,SSP3,SSP5
0,FIN8845.0,65.5,25.5,0.0,0.0,0.0
1,FIN9204.0,64.5,24.5,-0.004407184938941207,-0.004385243772326568,-0.06434732714810486
2,FIN9205.0,64.5,25.5,-0.04516511807695455,-0.03895124868187145,-0.10265035994198778
3,FIN9206.0,64.5,26.5,-0.1401930668765298,-0.13810709754621886,-0.22964217828695863
4,FIN9207.0,64.5,27.5,0.0,0.0,0.0
5,FIN9208.0,64.5,28.5,0.0,0.0,0.0
6,FIN9561.0,63.5,21.5,-0.05255162033680014,-0.029501235169667437,-0.20642736419683863
7,FIN9562.0,63.5,22.5,-0.1139619144169734,-0.10601498849203143,-0.2550024255077102
8,FIN9563.0,63.5,23.5,-0.1141566853670203,-0.11215275601419644,-0.2603504840884222
9,FIN9564.0,63.5,24.5,-0.07785243438373074,-0.0693825186801403,-0.18879213280316978
10,FIN9565.0,63.5,25.5,-0.03178436268082904,-0.02681363346913252,-0.14789767107086507
11,FIN9566.0,63.5,26.5,-0.1137823432143436,-0.11024665512425932,-0.20083474779862198
12,FIN9567.0,63.5,27.5,-0.015381819814171438,-0.013756719460992115,-0.0455976973493252
13,FIN9568.0,63.5,28.5,-0.05887843600436947,-0.059129923638539264,-0.101757884776498
14,FIN9569.0,63.5,29.5,-0.15345043119772692,-0.1471281689215399,-0.2364303362557256
15,FIN9570.0,63.5,30.5,-0.15943949622989562,-0.1577836187616266,-0.19550718444988702
16,FIN9921.0,62.5,21.5,0.0,0.0,0.0
17,FIN9922.0,62.5,22.5,0.0,0.0,0.0
18,FIN9923.0,62.5,23.5,-0.0266768631827544,-0.023841914692102555,-0.14611496148118702
19,FIN9924.0,62.5,24.5,-0.09208743533303665,-0.09083161295887324,-0.2334078770419144
20,FIN9925.0,62.5,25.5,-0.05243095211691078,-0.043214422163337374,-0.18188954439836333
21,FIN9926.0,62.5,26.5,-0.2903613179203482,-0.2899598569632329,-0.40231339606289596
22,FIN9927.0,62.5,27.5,-0.0022220212022125256,-0.002031170311668942,-0.020546331411397674
23,FIN9928.0,62.5,28.5,-0.004267078669024308,-0.002680476632057669,-0.04673743461808615
24,FIN9929.0,62.5,29.5,-3.038653356934873e-06,-1.0654892363959334e-06,-0.004297473672385532
25,FIN9930.0,62.5,30.5,-0.0002427479010422556,-0.00016676910242739113,-0.0026809604887994
26,FIN9931.0,62.5,31.5,-0.049484776913650004,-0.04518993985192845,-0.12161250945971105
27,FIN10281.0,61.5,21.5,-0.019023013266330602,-0.017207343824758303,-0.03382528045570299
28,FIN10282.0,61.5,22.5,-0.017351395487673837,-0.017351395487673837,-0.017351395487673837
29,FIN10283.0,61.5,23.5,0.0,0.0,0.0
30,FIN10284.0,61.5,24.5,0.0,0.0,0.0
31,FIN10285.0,61.5,25.5,0.004599837462325549,0.004599837462325549,0.004599837462325549
32,FIN10286.0,61.5,26.5,0.0,0.0,0.0
33,FIN10287.0,61.5,27.5,0.0,0.0,0.0
34,FIN10288.0,61.5,28.5,0.0,0.0,0.0
35,FIN10289.0,61.5,29.5,0.0,0.0,0.0
36,FIN10290.0,61.5,30.5,0.0,0.0,0.0
37,FIN10641.0,60.5,21.5,0.0,0.0,0.0
38,FIN10642.0,60.5,22.5,0.0,0.0,0.0
39,FIN10643.0,60.5,23.5,0.0,0.0,0.0
40,FIN10644.0,60.5,24.5,0.0,0.0,0.0
41,FIN10645.0,60.5,25.5,0.0,0.0,0.0
42,FIN10646.0,60.5,26.5,0.0,0.0,0.0
43,FIN10647.0,60.5,27.5,0.0,0.0,-0.18009845527823443
44,FIN10648.0,60.5,28.5,0.0,0.0,0.0
45,FIN11003.0,59.5,23.5,0.0,0.0,0.0
46,FIN11004.0,59.5,24.5,0.0,0.0,0.0
47,RUS9582.0,63.5,42.5,0.011884073078406584,0.008214358233643086,-0.031133165442845993
48,RUS9932.0,62.5,32.5,-0.10344611812865677,-0.09901302885232921,-0.21550435792012998
49,RUS9933.0,62.5,33.5,-0.07046007340022566,-0.06780095290384151,-0.1754662997359531
50,RUS9935.0,62.5,35.5,-0.027648313942220115,-0.026969278609265446,-0.0933401007240773
51,RUS9936.0,62.5,36.5,-0.0417226965321309,-0.03955651342373765,-0.10449395617630947
52,RUS9938.0,62.5,38.5,-0.0076920940403395555,-0.006536484496076865,-0.1121744568130606
53,RUS9939.0,62.5,39.5,-0.00048069087213720163,-0.0004700043487853023,-0.010136205741055337
54,RUS9940.0,62.5,40.5,-0.02667238761529335,-0.021013587433654,-0.07497864093145165
55,RUS9941.0,62.5,41.5,-0.004380195586405788,-0.004220545642263818,-0.016992774044518155
56,RUS9942.0,62.5,42.5,0.0,0.0,-2.320775064462884e-05
57,RUS9943.0,62.5,43.5,0.0,0.0,0.0
58,RUS9944.0,62.5,44.5,0.0,0.0,0.0
59,RUS9945.0,62.5,45.5,0.0,0.0,0.0
60,RUS9950.0,62.5,50.5,0.0,0.0,0.0
61,RUS10291.0,61.5,31.5,0.01924638358579432,0.01924638358579432,0.01924638358579432
62,RUS10292.0,61.5,32.5,0.0,0.0,0.0
63,RUS10293.0,61.5,33.5,0.0,0.0,0.0
64,RUS10294.0,61.5,34.5,0.0,0.0,0.0
65,RUS10295.0,61.5,35.5,0.0,0.0,0.0
66,RUS10296.0,61.5,36.5,0.0,0.0,0.0
67,RUS10297.0,61.5,37.5,0.0,0.0,0.0
68,RUS10298.0,61.5,38.5,0.0,0.0,0.0
69,RUS10299.0,61.5,39.5,0.0,0.0,0.0
70,RUS10300.0,61.5,40.5,0.0,0.0,0.0
71,RUS10301.0,61.5,41.5,-0.0010502422798414068,-0.0010502422798414068,-0.0010502422798414068
72,RUS10302.0,61.5,42.5,-0.0001372222021052491,-0.0001372222021052491,-0.0001372222021052491
73,RUS10303.0,61.5,43.5,0.0,0.0,0.0
74,RUS10304.0,61.5,44.5,0.0,0.0,0.0
75,RUS10305.0,61.5,45.5,0.0,0.0,0.0
76,RUS10306.0,61.5,46.5,0.0,0.0,0.0
77,RUS10307.0,61.5,47.5,0.0,0.0,0.0
78,RUS10308.0,61.5,48.5,0.0,0.0,0.0
79,RUS10309.0,61.5,49.5,0.0,0.0,0.0
80,RUS10310.0,61.5,50.5,0.0,0.0,0.0
81,RUS10311.0,61.5,51.5,0.0,0.0,0.0
82,RUS10312.0,61.5,52.5,0.0,0.0,0.0
83,RUS10313.0,61.5,53.5,0.0,0.0,0.0
84,RUS10314.0,61.5,54.5,-0.01220844216136567,0.008090795975360773,-0.06963724767440028
85,RUS10325.0,61.5,65.5,-0.010126713154044014,0.004476741720232445,-0.0738989116017653
86,RUS10649.0,60.5,29.5,-0.0016680426616666054,-0.004277837179473211,-0.02481903343999262
87,RUS10650.0,60.5,30.5,-0.030739333736734625,-0.03085030037785418,-0.08718610188608678
88,RUS10651.0,60.5,31.5,-0.09113894103249531,-0.08312589337489232,-0.21851026319347497
89,RUS10652.0,60.5,32.5,0.0,0.0,0.0
90,RUS10653.0,60.5,33.5,0.0,0.0,0.0
91,RUS10654.0,60.5,34.5,0.0,0.0,0.0
92,RUS10655.0,60.5,35.5,0.0,0.0,-5.447731352581364e-06
93,RUS10656.0,60.5,36.5,-0.07216916939582022,-0.06259410592943618,-0.19037087869049982
94,RUS10657.0,60.5,37.5,-0.16876769115324042,-0.14467612791577913,-0.3170670749768384
95,RUS10658.0,60.5,38.5,0.00818282649206588,0.007568226319639167,-0.027133554462874476
96,RUS10659.0,60.5,39.5,-0.042354177128110904,-0.03769329650657563,-0.15243300359009188
97,RUS10660.0,60.5,40.5,-0.06654083840522834,-0.06330635988167753,-0.1766941991385266
98,RUS10661.0,60.5,41.5,-0.22780456617348047,-0.22222230328617376,-0.27567520368665327
99,RUS10662.0,60.5,42.5,-0.00329426360552362,-0.0019578885633396476,-0.03172076754266708
100,RUS10663.0,60.5,43.5,-0.0600270370871944,-0.05674476026454242,-0.12908129715867295
101,RUS10664.0,60.5,44.5,-0.01991629501287936,-0.01511285716371625,-0.11317950658123362
102,RUS10665.0,60.5,45.5,-0.038120543615312696,-0.03792617054583785,-0.0435835541986675
103,RUS10666.0,60.5,46.5,0.0,0.0,0.0
104,RUS10667.0,60.5,47.5,-0.003593323291735854,-0.003593323291735854,-0.003593323291735854
105,RUS10668.0,60.5,48.5,0.0,0.0,0.0
106,RUS10669.0,60.5,49.5,0.0,0.0,0.0
107,RUS10670.0,60.5,50.5,0.0,0.0,0.0
108,RUS10671.0,60.5,51.5,0.0,0.0,0.0
109,RUS10672.0,60.5,52.5,0.0,0.0,0.0
110,RUS10673.0,60.5,53.5,0.0,0.0,0.0
111,RUS10674.0,60.5,54.5,0.0,0.0,0.0
112,RUS10675.0,60.5,55.5,0.0,0.0,0.0
113,RUS10676.0,60.5,56.5,0.0,0.0,0.0
114,RUS10677.0,60.5,57.5,0.0,0.0,0.0
115,RUS10680.0,60.5,60.5,0.0,0.0,0.0
116,RUS10684.0,60.5,64.5,0.0,0.0,0.0
117,RUS10686.0,60.5,66.5,0.0,0.0,0.0
118,RUS10687.0,60.5,67.5,0.0,0.0,0.0
119,RUS11007.0,59.5,27.5,0.0,0.0,0.0
120,RUS11008.0,59.5,28.5,0.0,0.0,0.0
121,RUS11009.0,59.5,29.5,0.0,0.0,0.0
122,RUS11010.0,59.5,30.5,0.0,0.0,0.0
123,RUS11011.0,59.5,31.5,0.0,0.0,0.0
124,RUS11012.0,59.5,32.5,0.0,0.0,0.0
125,RUS11013.0,59.5,33.5,0.0,0.0,0.0
126,RUS11014.0,59.5,34.5,0.0,0.0,0.0
127,RUS11015.0,59.5,35.5,0.0,0.0,0.0
128,RUS11016.0,59.5,36.5,0.0,0.0,0.0
129,RUS11017.0,59.5,37.5,0.0,0.0,0.0
130,RUS11018.0,59.5,38.5,0.0,0.0,0.0
131,RUS11019.0,59.5,39.5,0.0,0.0,0.0
132,RUS11020.0,59.5,40.5,0.0,0.0,0.0
133,RUS11021.0,59.5,41.5,0.0,0.0,0.0
134,RUS11022.0,59.5,42.5,0.0,0.0,0.0
135,RUS11023.0,59.5,43.5,0.0,0.0,0.0
136,RUS11024.0,59.5,44.5,0.0,0.0,0.0
137,RUS11025.0,59.5,45.5,0.0234475042117807,0.0234475042117807,0.0234475042117807
138,RUS11026.0,59.5,46.5,0.9402879200157355,-0.24949828485218126,-0.4945138580279968
139,RUS11027.0,59.5,47.5,7.513355950047517,0.00015151514544152597,-0.4189085983079127
140,RUS11028.0,59.5,48.5,-0.0019474155294950505,-0.0018272609876830816,-0.009483324382994655
141,RUS11029.0,59.5,49.5,0.012224076026203812,0.010254518576026815,0.003299642956353461
142,RUS11030.0,59.5,50.5,-0.024887640723912266,-0.0234952811690465,-0.1115981417322789
143,RUS11031.0,59.5,51.5,0.0,0.0,0.0
144,RUS11032.0,59.5,52.5,0.0,0.0,0.0
145,RUS11033.0,59.5,53.5,-0.006649358495463805,-0.005569202594426325,-0.10752409674540218
146,RUS11034.0,59.5,54.5,-0.05719235161388278,-0.041901760234447465,-0.23647414035959802
147,RUS11035.0,59.5,55.5,-0.04878422086173167,-0.04462363455672034,-0.16859362787497667
148,RUS11036.0,59.5,56.5,-0.007967203563376104,-0.005817923246001778,-0.08549097833048326
149,RUS11037.0,59.5,57.5,-0.08895687318875595,-0.0784178199014266,-0.19992060546165408
150,RUS11040.0,59.5,60.5,-0.006692854540133709,-0.006692854540133709,-0.028736284401856348
151,RUS11041.0,59.5,61.5,0.06637910914368485,0.06374702604856605,-0.01903740682619455
152,RUS11042.0,59.5,62.5,0.08191586094326472,0.05329630104485166,-0.17199055316336168
153,RUS11043.0,59.5,63.5,0.07543447729634592,0.07114905912420248,-0.10654084381900533
154,RUS11044.0,59.5,64.5,-0.06766246778144548,-0.06766246778144548,-0.17006842638580288
155,RUS11045.0,59.5,65.5,0.007887142999646293,0.012979282680924905,-0.009140208789923967
