,iso3,long,lat,SSP1,SSP3,SSP5
0,FIN8845.0,65.5,25.5,0.0,0.0,0.0
1,FIN9204.0,64.5,24.5,-0.004724589491401901,-0.004701003660924897,-0.06442352874345868
2,FIN9205.0,64.5,25.5,-0.04431909190844008,-0.037538967368729505,-0.10157874321152845
3,FIN9206.0,64.5,26.5,-0.1385284340658956,-0.13640514602358744,-0.22579051967769376
4,FIN9207.0,64.5,27.5,0.0,0.0,0.0
5,FIN9208.0,64.5,28.5,0.0,0.0,0.0
6,FIN9561.0,63.5,21.5,-0.05019388313303042,-0.026381136914282,-0.21222555621114675
7,FIN9562.0,63.5,22.5,-0.11626282411785505,-0.10829333966008536,-0.2578013276135987
8,FIN9563.0,63.5,23.5,-0.12062303292805795,-0.11860334720277436,-0.2707943600710712
9,FIN9564.0,63.5,24.5,-0.08103013281535469,-0.07179940412259782,-0.19229076232123532
10,FIN9565.0,63.5,25.5,-0.031157013480011778,-0.02616604237707425,-0.14931290784512927
11,FIN9566.0,63.5,26.5,-0.11942898793482261,-0.11581097554772737,-0.2095573780627202
12,FIN9567.0,63.5,27.5,-0.01074714132974861,-0.009316957549435052,-0.040630097156595144
13,FIN9568.0,63.5,28.5,-0.004283790855376033,-0.0041399304405210485,-0.006552288369133174
14,FIN9569.0,63.5,29.5,-0.14459658792760346,-0.1348601187674766,-0.25946411585541396
15,FIN9570.0,63.5,30.5,-0.15943949622989562,-0.1577836187616266,-0.19550718444988702
16,FIN9921.0,62.5,21.5,0.0,0.0,0.0
17,FIN9922.0,62.5,22.5,0.0,0.0,0.0
18,FIN9923.0,62.5,23.5,-0.023739017425459627,-0.02103373086188798,-0.1405689522627138
19,FIN9924.0,62.5,24.5,-0.09090658116124734,-0.08982227177781413,-0.23315752987550367
20,FIN9925.0,62.5,25.5,-0.05306039677687072,-0.043348250959575736,-0.18518929430330153
21,FIN9926.0,62.5,26.5,-0.38617535168259504,-0.3858779465997201,-0.47398875369746785
22,FIN9927.0,62.5,27.5,-0.0007298802295825567,-0.0006671907616529079,-0.006748977961967299
23,FIN9928.0,62.5,28.5,-0.004267078669024308,-0.002680476632057669,-0.04673743461808615
24,FIN9929.0,62.5,29.5,-7.671133062103763e-09,-2.68984612361578e-09,-0.0014153140041662793
25,FIN9930.0,62.5,30.5,-2.3718687398536003e-05,-1.6294866477761344e-05,-0.00026195435742345987
26,FIN9931.0,62.5,31.5,-0.05038304337901589,-0.046016670920804435,-0.12499506045462253
27,FIN10281.0,61.5,21.5,-0.01653363042849687,-0.014722829283849714,-0.030050737850253695
28,FIN10282.0,61.5,22.5,-0.017351395487673837,-0.017351395487673837,-0.017351395487673837
29,FIN10283.0,61.5,23.5,0.0,0.0,0.0
30,FIN10284.0,61.5,24.5,0.0,0.0,0.0
31,FIN10285.0,61.5,25.5,0.0045998373702136365,0.0045998373702136365,0.0045998373702136365
32,FIN10286.0,61.5,26.5,0.0,0.0,0.0
33,FIN10287.0,61.5,27.5,0.0,0.0,0.0
34,FIN10288.0,61.5,28.5,0.0,0.0,0.0
35,FIN10289.0,61.5,29.5,0.0,0.0,0.0
36,FIN10290.0,61.5,30.5,0.0,0.0,0.0
37,FIN10641.0,60.5,21.5,0.0,0.0,0.0
38,FIN10642.0,60.5,22.5,0.0,0.0,0.0
39,FIN10643.0,60.5,23.5,0.0,0.0,0.0
40,FIN10644.0,60.5,24.5,0.0,0.0,0.0
41,FIN10645.0,60.5,25.5,0.0,0.0,0.0
42,FIN10646.0,60.5,26.5,0.0,0.0,0.0
43,FIN10647.0,60.5,27.5,0.0,0.0,-0.18009841836827845
44,FIN10648.0,60.5,28.5,0.0,0.0,0.0
45,FIN11003.0,59.5,23.5,0.0,0.0,0.0
46,FIN11004.0,59.5,24.5,0.0,0.0,0.0
47,RUS9582.0,63.5,42.5,0.012007370824610621,0.008338414794292618,-0.03122305587491492
48,RUS9932.0,62.5,32.5,-0.10477258656609137,-0.10033987759515921,-0.21702078249174728
