,name,iso3,1850,1900,1910,1945,1980,2015,SSP1,SSP3,SSP5
0,Afghanistan,AFG,7.4,6.39,6.48,6.47,5.14,5.07,5.31,4.69,4.85
1,Albania,ALB,55.08,15.02,14.19,18.68,33.53,56.61,61.09,60.77,52.77
2,Algeria,DZA,25.92,8.93,6.9,4.06,2.86,1.41,0.47,0.55,1.17
3,Angola,AGO,100.02,100.0,99.99,99.95,96.44,94.75,94.81,87.49,89.03
4,Argentina,ARG,45.76,34.94,30.37,18.16,15.41,14.58,15.91,12.58,13.24
5,Armenia,ARM,13.83,7.39,6.77,6.37,6.23,4.01,4.76,3.29,4.29
6,Aruba,ABW,50.0,50.0,50.0,50.0,0.5,0.5,0.5,0.5,0.5
7,Australia,AUS,27.99,24.45,1.23,2.17,5.0,5.03,5.1,5.28,4.71
8,Austria,AUT,21.75,15.11,14.53,14.34,18.35,25.54,28.49,28.23,19.36
9,Azerbaijan,AZE,0.45,1.13,1.26,1.26,1.74,1.29,1.17,1.18,1.16
10,Bahrain,BHR,50.0,100.0,100.0,100.0,79.22,11.39,50.0,0.0,50.0
11,Bangladesh,BGD,3.38,3.48,3.7,3.44,1.05,0.6,0.56,0.48,0.53
12,Belarus,BLR,43.91,29.51,27.53,26.86,20.1,21.71,27.67,26.35,21.2
13,Belgium,BEL,18.08,15.2,14.78,13.49,15.84,11.69,15.57,13.26,13.46
14,Belize,BLZ,93.76,90.55,88.98,75.16,53.87,37.63,59.88,35.26,48.37
15,Benin,BEN,0.88,1.2,1.32,1.74,1.97,1.69,1.42,1.4,1.37
16,Bolivia,BOL,73.16,71.94,70.35,61.23,40.2,25.6,39.52,20.79,23.41
17,Bosnia and Herzegovina,BIH,64.0,6.58,3.47,5.24,15.04,71.8,77.78,77.36,66.74
18,Botswana,BWA,50.0,50.0,50.0,17.86,53.93,25.89,25.91,19.53,27.92
19,Brazil,BRA,86.4,81.54,79.18,66.42,48.27,35.38,36.26,28.38,30.93
20,Brunei Darussalam,BRN,50.0,50.0,50.0,100.0,99.99,89.88,93.6,94.14,91.41
21,Bulgaria,BGR,55.36,48.32,44.47,33.9,22.49,28.31,31.53,22.66,27.34
22,Burkina Faso,BFA,1.91,1.75,1.7,1.44,1.22,1.07,1.08,1.07,1.07
23,Burma,MMR,31.65,31.11,30.35,27.59,19.46,10.66,14.22,12.65,15.3
24,Burundi,BDI,10.03,7.85,7.44,4.52,1.76,1.72,1.71,0.8,1.34
25,Cambodia,KHM,37.79,35.22,33.99,30.32,22.13,12.89,13.18,12.93,14.3
26,Cameroon,CMR,48.74,44.86,42.76,21.88,11.67,7.95,12.92,3.41,5.48
27,Canada,CAN,53.87,32.31,31.22,28.36,21.54,29.24,36.5,20.31,27.65
28,Central African Republic,CAF,0.81,1.0,1.07,0.08,0.13,0.42,0.42,0.41,0.41
29,Chad,TCD,37.74,34.91,34.42,21.53,16.84,7.89,9.32,0.88,0.94
30,Chile,CHL,94.18,92.4,88.12,63.3,34.17,17.9,26.8,13.87,15.48
31,China,CHN,14.44,14.73,13.99,13.39,8.47,6.08,8.05,8.43,6.44
