,country,1850_lat_min,1850_long_min,1850_lat_max,1850_long_max,1900_lat_min,1900_long_min,1900_lat_max,1900_long_max,1910_lat_min,1910_long_min,1910_lat_max,1910_long_max,1945_lat_min,1945_long_min,1945_lat_max,1945_long_max,1980_lat_min,1980_long_min,1980_lat_max,1980_long_max,2015_lat_min,2015_long_min,2015_lat_max,2015_long_max,SSP1_lat_min,SSP1_long_min,SSP1_lat_max,SSP1_long_max,SSP3_lat_min,SSP3_long_min,SSP3_lat_max,SSP3_long_max,SSP5_lat_min,SSP5_long_min,SSP5_lat_max,SSP5_long_max
0,Afghanistan,71.5,38.5,70.5,37.5,71.5,38.5,70.5,37.5,73.5,37.5,71.5,38.5,73.5,37.5,74.5,37.5,63.5,36.5,73.5,37.5,63.5,36.5,73.5,37.5,63.5,36.5,73.5,37.5,63.5,36.5,74.5,37.5,63.5,36.5,74.5,37.5
1,Albania,19.5,41.5,19.5,42.5,19.5,41.5,19.5,42.5,20.5,42.5,19.5,42.5,19.5,40.5,19.5,42.5,19.5,41.5,19.5,42.5,20.5,41.5,19.5,42.5,19.5,41.5,19.5,42.5,19.5,41.5,19.5,42.5,20.5,41.5,19.5,42.5
2,Algeria,3.5,33.5,2.5,34.5,3.5,35.5,5.5,33.5,3.5,35.5,5.5,33.5,3.5,35.5,3.5,33.5,3.5,35.5,7.5,33.5,3.5,35.5,7.5,33.5,1.5,36.5,-2.5,35.5,3.5,35.5,7.5,33.5,3.5,35.5,5.5,33.5
3,Angola,13.5,-4.5,12.5,-4.5,13.5,-4.5,12.5,-4.5,13.5,-4.5,12.5,-4.5,13.5,-5.5,13.5,-4.5,13.5,-5.5,13.5,-4.5,12.5,-6.5,13.5,-5.5,12.5,-6.5,13.5,-5.5,12.5,-6.5,22.5,-9.5,12.5,-6.5,21.5,-7.5
4,Argentina,-65.5,-21.5,-64.5,-22.5,-65.5,-21.5,-63.5,-21.5,-65.5,-21.5,-66.5,-24.5,-66.5,-22.5,-65.5,-21.5,-66.5,-22.5,-65.5,-21.5,-66.5,-22.5,-65.5,-22.5,-66.5,-22.5,-62.5,-21.5,-66.5,-22.5,-62.5,-22.5,-66.5,-22.5,-62.5,-22.5
5,Armenia,46.5,38.5,46.5,39.5,46.5,38.5,46.5,39.5,46.5,38.5,46.5,39.5,46.5,38.5,46.5,39.5,46.5,38.5,46.5,39.5,44.5,40.5,46.5,39.5,44.5,40.5,46.5,39.5,44.5,39.5,46.5,39.5,44.5,40.5,46.5,39.5
6,Aruba,-70.5,12.5,-70.5,12.5,-70.5,12.5,-70.5,12.5,-70.5,12.5,-70.5,12.5,-70.5,12.5,-70.5,12.5,-70.5,12.5,-70.5,12.5,-70.5,12.5,-70.5,12.5,-70.5,12.5,-70.5,12.5,-70.5,12.5,-70.5,12.5,-70.5,12.5,-70.5,12.5
7,Australia,141.5,-12.5,136.5,-33.5,141.5,-12.5,148.5,-29.5,141.5,-12.5,147.5,-22.5,141.5,-12.5,149.5,-23.5,141.5,-12.5,145.5,-20.5,141.5,-12.5,145.5,-20.5,141.5,-12.5,145.5,-20.5,141.5,-12.5,145.5,-20.5,141.5,-12.5,145.5,-20.5
8,Austria,14.5,47.5,14.5,49.5,14.5,47.5,10.5,47.5,14.5,47.5,10.5,47.5,14.5,47.5,10.5,47.5,14.5,47.5,9.5,47.5,14.5,47.5,15.5,47.5,14.5,47.5,15.5,47.5,14.5,47.5,14.5,49.5,14.5,47.5,15.5,47.5
9,Azerbaijan,50.5,40.5,49.5,39.5,47.5,40.5,50.5,40.5,47.5,40.5,49.5,39.5,47.5,40.5,49.5,39.5,47.5,40.5,50.5,40.5,47.5,40.5,50.5,40.5,47.5,40.5,50.5,40.5,47.5,40.5,50.5,40.5,47.5,40.5,50.5,40.5
