,name,iso3,GRIDCODE,X1_en,X1_va,X1_fo,X2_en,X2_va,X2_fo,X2+Y_en,X2+Y_va,X2+Y_fo
0,Afghanistan,AFG,1589158.0,123464817729.11328,886786509270.3638,6162486593.073608,5146113764.896467,48134533208.21095,240964423.33090448,10762260520963.0,1152350259761.7344,496860028546.375
1,Albania,ALB,87042.0,92640788480.0,239122636800.0,8536712288.0,38170243136.0,120676555712.0,3130521304.0,7090019827712.0,1226356858880.0,257709374464.0
2,Algeria,DZA,650105.0,987699021086.5,10732164581268.0,70247355871.125,19399077994.0,317046679348.0,1362131821.9375,28059900242432.0,11374272700544.0,1491157170672.0
3,Angola,AGO,4400592.0,515176809.7411194,7650982.939952791,52814264.736063,3258354255.8202677,207344628.3558326,185816737.35392603,229793083745.73438,153180755496.09003,21144036496.066406
4,Argentina,ARG,9900129.0,17369322866880.502,7493503958575.423,3494547862100.6963,942153874953.7502,1366037836897.7947,164581999670.22418,338381605817736.3,40992401451922.2,17356447258019.168
5,Armenia,ARM,144727.0,198143486976.0,963472831488.0,9922581712.0,17705377280.0,64050230272.0,792781289.0,5925122605056.0,1753194866688.0,288785580032.0
6,Aruba,ABW,55661.0,0.0,0.0,0.0,0.0,0.0,0.0,3552439.8125,497853.375,44201.93115234375
7,Australia,AUS,12303693.0,3486242034612.002,4420536203012.856,959794076438.8673,98242653462.7748,233037365748.33185,27286049561.971535,273876721964916.94,7848174294704.391,11786076776564.14
8,Austria,AUT,196207.0,995628951680.0,3620438141872.0,25452913143.25,203612242696.0,813682198845.0,5548006619.4375,60625803923456.0,8041140299776.0,1805430371328.0
9,Azerbaijan,AZE,107218.0,102208622424.0,178647720640.0,3431648227.5,1786021164.0,3166460016.0,57537489.75,3897337886720.0,549027147776.0,145036262272.0
10,Bahrain,BHR,22911.0,4752600.0,36787820.0,346421.15625,18836096.0,140321840.0,1474981.125,1271151232.0,663499392.0,40659492.0
11,Bangladesh,BGD,169658.0,810378993152.0,2709254391552.0,44936824752.0,12198379936.0,28919034976.0,813078520.0,168960705626112.0,17837879047168.0,3178060425216.0
12,Belarus,BLR,309350.0,275432777024.0,4726048583424.0,21421265580.0,85645224704.0,1189218819072.0,5756434976.0,33446993788928.0,5184058343424.0,1869281278976.0
13,Belgium,BEL,27729.0,152879718400.0,4437998829568.0,8588985088.0,29354414080.0,835422814208.0,1568190144.0,5863940554752.0,7180418023424.0,496837705728.0
