,name,iso3,GRIDCODE,X1_en,X1_va,X1_fo,X2_en,X2_va,X2_fo,X2+Y_en,X2+Y_va,X2+Y_fo,Z_en,Z_va,Z_fo
0,Afghanistan,AFG,1589158.0,117528563798.38235,814362119311.4169,5879816398.478151,6328784688.128479,45714852459.42784,311725521.5486312,10266129654251.0,1078470556059.4844,479251675429.875,52600870244352.0,13323795485696.0,8633163577088.0
1,Albania,ALB,87042.0,38217396992.0,82188624896.0,3899068512.0,42349593856.0,129044890880.0,3541839732.0,4737175945216.0,821248643072.0,175783211008.0,3340584222720.0,814930632704.0,562120843264.0
2,Algeria,DZA,650105.0,1385976095992.0,15326268062976.0,97784176150.5,9379835368.5,72710681111.5,691012593.2578125,37259941777408.0,15599242221056.0,2010544703264.0,26922475532288.0,6614387177472.0,4478964304896.0
3,Angola,AGO,4400592.0,2261368354.8161163,17173504.45255685,221162435.59526253,7326949775.151514,314313779.69979054,449602257.26617,757354362266.9062,692307800017.5736,62028704100.09375,38069908118784.0,9716686551296.0,6277335948288.0
4,Argentina,ARG,9900129.0,24235311843586.2,11232545151332.398,4644025279320.182,1112935485640.6104,2126585823715.733,196605057425.69592,454537472567413.8,57420570043382.61,23115262798788.94,38591782796320.0,9494791152208.0,6495379773276.0
5,Armenia,ARM,144727.0,129024083456.0,616530850816.0,6710843088.0,9272079952.0,30862266048.0,407892527.5,3644850225152.0,1030786935808.0,188673733632.0,5531596881920.0,1350450696192.0,927343826944.0
6,Aruba,ABW,55661.0,0.0,0.0,0.0,0.0,0.0,0.0,5360801.1875,751284.515625,66702.828125,478748999680.0,117178171392.0,80279314432.0
7,Australia,AUS,12303693.0,3631851160724.0537,4961101314673.128,976912383557.7667,102965118523.14589,266859067109.43506,27797567789.996876,284751405246507.0,8722193665705.9375,12166908719919.547,29907958393699.375,7313552159651.766,5072134939615.18
8,Austria,AUT,196207.0,751454930208.0,2977610410896.0,19715119301.75,310456904064.0,1186575497019.0,8690685064.4375,54022410457088.0,8019849839872.0,1621701305088.0,10929374527488.0,2653019553792.0,1864395659264.0
9,Azerbaijan,AZE,107218.0,76389900858.0,133319560306.0,2564738784.265625,915475644.0,1591532912.0,29446167.9375,2889700188160.0,405864326064.0,107493665600.0,4726885908480.0,1146872897536.0,791552795648.0
10,Bahrain,BHR,22911.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4419757801472.0,1057131986944.0,714277257216.0
11,Bangladesh,BGD,169658.0,831157536256.0,2739246506496.0,46562683224.0,9251980032.0,15587395328.0,680895312.0,169862041108480.0,17986200432640.0,3211071617024.0,68782466007040.0,17053607723008.0,11405800906752.0
12,Belarus,BLR,309350.0,183712966528.0,3070814458368.0,14353779452.0,89014022272.0,1174821600256.0,5867765096.0,25803680759808.0,4067483357184.0,1424414494720.0,5334780846080.0,1292062059520.0,909490565120.0
13,Belgium,BEL,27729.0,152036687872.0,4415665995776.0,8531154688.0,28543472640.0,814754070528.0,1547794112.0,5816078303232.0,7080675901440.0,493024215040.0,8021926739968.0,1958141034496.0,1366380904448.0
14,Belize,BLZ,106206.0,24714868224.0,47034853376.0,4945989888.0,33164666752.0,70221378896.0,7930858013.0,1026775092224.0,263467747328.0,42862869376.0,3162319798272.0,794180395008.0,524946896896.0
15,Benin,BEN,229699.0,109683516928.0,20746557472.0,7014027904.0,3003772360.0,299813292.0,182237487.75,3379322814464.0,810046411776.0,197737124864.0,6550521741312.0,1677543038976.0,1081359183872.0
16,Bolivia,BOL,2754741.0,67541079418.58984,70106976691.89996,14171967708.884766,63476132324.27872,45820884553.24555,13380329772.20105,1742060669574.3872,281774318073.1719,131747476525.34454,9106596497152.0,2254711885952.0,1517060068608.0
17,Bosnia and Herzegovina,BIH,16398.0,485822464.0,4218822144.0,28824842.0,1932154880.0,14774495232.0,108660456.0,333677527040.0,63942639616.0,9630964736.0,377809403904.0,91437465600.0,63878094848.0
18,Botswana,BWA,1288474.0,4394994.966369629,42116.4259250164,174817.0321097374,2179607.2223587036,14728.691512465477,58591.77658176422,355369858.9511719,7312640.828738213,3539912.558288574,771897704800.0,191949410960.0,128665082700.0
19,Brazil,BRA,25916294.0,8343439629034.395,3605385764957.9014,2072959308232.3545,5002349342854.201,2051506924137.9214,1174878775632.7341,235706563380874.4,57785901859442.05,17598914258898.477,171541328386154.0,41923617670894.0,28775994528300.0
20,Brunei Darussalam,BRN,92327.0,902895748.0,22165394.22265625,706940.1591796875,73686431232.0,324533188.0,32481640.5,1492778844160.0,5714260480.0,682505360.0,798971002880.0,195753029632.0,132148567040.0
21,Bulgaria,BGR,120607.0,635804405920.0,729192097568.0,53923249622.0,294742357248.0,335860795392.0,23754408112.0,22727652409344.0,2748288786432.0,890557829120.0,12732442574848.0,3098259701760.0,2130785525760.0
22,Burkina Faso,BFA,251448.0,154772110208.0,22586559384.0,25461294512.0,1919491497.5000002,247006996.625,329354767.56250006,10960700301312.0,199474641920.0,671105861632.0,12981049950208.0,3306939875328.0,2149282545664.0
23,Burma,MMR,1597600.0,4001109960550.125,1489088440445.8906,353354343011.9453,538071001946.0,246910336593.0,42104693047.0,218195487470016.0,5832148294480.0,8653856171160.0,41755648199552.0,10259121251328.0,7000755567488.0
24,Burundi,BDI,235472.0,328341982848.0,1456020952384.0,62999810080.0,28560126080.0,25467308512.0,4314709200.0,11514101891072.0,98530202861568.0,1715082975232.0,20944006676480.0,5328064331776.0,3454274781184.0
25,Cambodia,KHM,617192.0,2307478161376.9062,1865207598859.5078,74601826570.71191,430416687626.0,283190828751.5,14814662100.4375,164370131408960.0,30489883959808.0,3213224120691.0,41530604783616.0,10149692730880.0,6945198567424.0
26,Cameroon,CMR,1553739.0,686054124409.7891,479935998003.25,41660699638.236694,256214308047.5,71237621094.75,5093854250.6484375,20057943127144.0,9253653250576.0,1032344000242.625,40220584525824.0,10196083195392.0,6630987152384.0
27,Canada,CAN,4827914.0,13410338161663.44,7265817719886.488,688423232514.4279,2848141626191.5806,4177753010741.4604,138870964308.0133,664293358979892.1,38322054161044.58,24884114724150.98,60924016141712.0,14840712303310.0,10350721505907.0
28,Central African Republic,CAF,1188484.0,15584031118.035156,1147416854.155777,1130982195.788086,1576210467.9726562,4866030.534511566,63495441.08947754,432354670496.6875,39342376462.592285,25172648641.328125,3736151811584.0,947576484864.0,616889569024.0
29,Chad,TCD,1197650.0,101752002014.33789,15164520382.201534,6913955000.872437,11437081344.679321,1559720272.1834166,766303336.6858711,3431954569352.125,1249169802345.6672,183160792025.26758,10391095250944.0,2680689487872.0,1711332371968.0
