,1850,1900,1910,1945,1980,2015,SSP1,SSP3,SSP5,long,lat
0,100.0,100.0,100.0,100.0,100.0,100.0,99.43,99.67,92.09,65.5,25.5
1,87.16,80.55,74.59,71.56,85.38,87.86,87.6,87.6,82.12,64.5,24.5
2,58.77,55.52,53.28,51.56,56.77,58.73,55.75,55.96,52.31,64.5,25.5
3,93.28,90.92,90.91,90.81,90.08,92.29,79.11,79.3,70.11,64.5,26.5
4,100.0,100.0,100.0,100.0,100.0,100.0,98.41,98.49,98.28,64.5,27.5
5,99.2,99.23,99.23,99.23,99.23,98.93,98.92,98.93,96.13,64.5,28.5
6,74.67,57.54,32.42,23.09,70.27,75.13,70.44,71.9,61.81,63.5,21.5
7,64.68,27.99,15.11,11.7,61.73,65.57,58.83,59.41,49.47,63.5,22.5
8,77.89,35.61,21.62,17.96,73.9,78.63,72.28,72.46,62.59,63.5,23.5
9,65.66,57.88,52.41,47.8,61.8,65.42,61.07,61.4,53.89,63.5,24.5
10,73.71,70.56,64.99,60.65,71.33,73.56,71.04,71.4,63.31,63.5,25.5
11,98.88,70.63,53.37,47.2,95.9,98.87,90.57,90.87,83.52,63.5,26.5
12,99.51,83.94,67.91,60.04,97.31,99.68,96.39,96.58,93.41,63.5,27.5
13,99.31,93.0,83.61,79.76,97.71,99.18,93.38,93.34,88.43,63.5,28.5
14,99.34,97.35,97.35,97.35,97.26,99.41,83.28,83.63,78.15,63.5,29.5
15,100.0,100.0,100.0,100.0,99.99,100.0,88.32,88.56,84.47,63.5,30.5
16,0.0,0.0,99.73,99.73,99.73,99.73,99.73,99.73,99.73,63.5,42.5
17,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.03,62.5,17.5
18,72.05,58.65,39.64,30.72,68.82,70.78,67.32,67.62,57.68,62.5,21.5
19,64.04,39.79,20.7,15.15,60.13,62.6,56.29,56.43,47.83,62.5,22.5
20,81.3,40.64,22.0,15.39,79.14,81.01,76.95,77.45,67.82,62.5,23.5
21,98.06,94.8,80.88,77.31,97.19,98.06,77.17,77.2,69.51,62.5,24.5
22,99.49,97.35,97.35,97.35,97.35,99.51,95.45,95.59,92.29,62.5,25.5
23,99.94,84.54,72.42,67.19,99.81,99.94,98.76,98.93,93.88,62.5,26.5
24,100.0,97.13,93.15,89.93,99.09,100.0,99.94,99.94,99.11,62.5,27.5
25,99.98,87.7,70.66,64.94,97.99,99.98,99.94,99.96,99.06,62.5,28.5
26,97.28,93.07,93.07,93.07,92.76,96.83,92.04,92.43,85.89,62.5,29.5
27,100.0,99.91,99.77,99.77,99.92,100.0,96.74,96.93,94.45,62.5,30.5
28,100.0,100.0,100.0,100.0,100.0,100.0,98.12,98.12,98.12,62.5,31.5
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,32.5
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,33.5
31,0.0,0.0,99.54,99.54,99.54,99.54,100.0,100.0,100.0,62.5,35.5
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,36.5
33,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,62.5,38.5
34,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,62.5,39.5
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,40.5
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,41.5
37,0.0,100.0,98.8,98.78,98.58,98.43,98.43,98.43,98.43,62.5,42.5
38,0.0,100.0,98.51,98.51,98.53,98.51,98.51,98.51,98.51,62.5,43.5
39,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,62.5,44.5
40,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,62.5,45.5
41,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,62.5,50.5
42,100.0,46.79,14.23,14.23,67.69,100.0,100.0,100.0,100.0,61.5,4.5
43,100.0,92.94,82.64,79.0,99.92,100.0,94.28,91.2,81.23,61.5,5.5
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.5,15.5
