,name,iso3,1850,1900,1910,1945,1980,2015,SSP1,SSP3,SSP5
0,Afghanistan,AFG,7.67,7.48,8.16,7.7,4.0,3.79,5.1,3.17,3.86
1,Albania,ALB,46.71,13.35,12.45,16.28,29.17,48.45,52.56,52.25,45.29
2,Algeria,DZA,20.62,8.44,6.72,3.64,1.92,1.31,0.67,0.75,1.14
3,Angola,AGO,57.73,72.24,75.91,82.82,86.34,80.87,76.41,26.52,52.63
4,Argentina,ARG,45.93,30.83,22.39,7.24,5.14,3.47,4.39,2.81,2.94
5,Armenia,ARM,13.06,9.08,8.66,8.13,8.2,5.92,6.7,4.6,6.64
6,Aruba,ABW,50.0,50.0,50.0,50.0,0.5,0.5,0.5,0.5,0.5
7,Australia,AUS,24.32,10.1,5.71,1.14,2.74,2.74,2.75,2.77,2.73
8,Austria,AUT,20.76,14.47,13.96,13.8,16.97,23.45,29.23,27.91,18.2
9,Azerbaijan,AZE,0.44,1.14,1.26,1.26,1.71,1.29,1.18,1.18,1.16
10,Bahrain,BHR,50.0,100.0,100.0,100.0,79.85,10.87,50.0,0.0,50.0
11,Bangladesh,BGD,3.4,3.46,3.66,3.46,1.48,0.98,1.1,0.88,1.25
12,Belarus,BLR,45.55,34.6,32.72,31.98,23.71,27.19,32.63,31.53,26.15
13,Belgium,BEL,18.28,15.64,15.24,13.99,16.1,12.02,15.8,13.56,13.76
14,Belize,BLZ,94.47,91.44,89.9,74.31,49.99,34.38,57.29,32.58,43.9
15,Benin,BEN,2.82,3.1,3.18,3.89,3.95,2.82,2.66,2.63,2.6
16,Bolivia,BOL,77.0,76.57,75.66,69.04,48.49,31.91,48.44,26.53,29.65
17,Bosnia and Herzegovina,BIH,62.86,6.24,3.34,5.09,14.79,71.6,79.9,79.3,64.92
18,Botswana,BWA,50.0,50.0,50.0,64.44,60.29,33.12,33.15,22.07,36.78
19,Brazil,BRA,85.69,83.95,82.66,74.61,52.84,36.57,37.48,28.96,30.05
20,Brunei Darussalam,BRN,50.0,50.0,50.0,100.0,99.97,99.3,98.78,98.01,90.53
21,Bulgaria,BGR,53.68,46.24,42.45,32.75,22.68,28.57,31.67,22.83,27.61
22,Burkina Faso,BFA,2.76,1.75,1.5,1.25,1.24,1.22,1.22,1.29,1.25
23,Burma,MMR,32.45,30.75,29.77,26.43,17.91,9.42,11.85,10.29,13.73
24,Burundi,BDI,19.62,17.92,17.66,13.15,9.44,8.16,8.0,3.52,5.93
25,Cambodia,KHM,38.45,35.84,34.77,31.54,24.51,15.27,15.72,15.35,17.31
26,Cameroon,CMR,41.59,39.66,38.67,26.67,21.27,16.75,27.19,5.71,11.15
27,Canada,CAN,37.24,30.97,31.68,18.35,10.59,13.35,17.51,10.14,12.79
28,Central African Republic,CAF,6.26,6.4,6.51,5.88,8.23,9.15,9.18,8.09,8.42
29,Chad,TCD,37.96,34.26,33.28,17.69,14.41,8.26,10.1,2.29,2.37
30,Chile,CHL,93.8,91.22,85.87,64.38,37.53,22.41,32.14,17.98,19.92
31,China,CHN,13.58,13.77,13.04,12.18,7.02,4.74,6.65,7.12,5.01
32,Colombia,COL,51.08,45.66,36.96,8.32,5.76,4.3,5.35,4.38,4.27
33,Congo,COG,100.0,100.0,100.0,99.48,90.24,82.96,84.52,47.95,61.42
34,Costa Rica,CRI,96.63,95.08,95.0,83.85,44.16,33.34,57.79,35.18,33.59
35,Cote d'Ivoire,CIV,49.9,49.29,48.89,46.74,30.18,27.14,26.07,20.6,22.65
36,Croatia,HRV,45.74,28.91,26.58,28.09,31.39,44.54,45.07,46.29,40.64
37,Cuba,CUB,96.46,91.11,87.78,59.98,10.54,6.46,16.78,7.26,6.55
38,Cyprus,CYP,68.0,54.52,50.9,51.81,52.76,68.29,74.69,74.39,65.55
39,Czech Republic,CZE,50.66,22.12,20.97,20.76,21.12,27.49,33.62,51.15,25.55
40,Democratic Republic of the Congo,COD,63.79,65.2,65.78,70.24,74.67,73.74,72.43,68.28,71.12
41,Denmark,DNK,26.16,25.13,24.76,24.48,24.23,29.46,36.67,29.21,29.06
42,Djibouti,DJI,50.0,50.0,50.0,50.0,50.0,0.5,0.5,0.5,0.5
43,Dominican Republic,DOM,68.72,64.03,61.78,52.52,28.07,21.49,28.82,22.35,21.62
44,Ecuador,ECU,99.44,78.7,72.14,42.94,18.85,13.79,17.97,10.37,12.89
45,Egypt,EGY,9.82,7.73,7.43,5.95,3.33,1.74,0.39,0.42,1.2
46,El Salvador,SLV,69.72,60.14,56.23,42.37,25.9,20.47,26.29,21.57,19.85
47,Equatorial Guinea,GNQ,50.0,50.0,50.0,50.0,100.0,100.0,99.25,82.34,92.68
48,Eritrea,ERI,77.47,65.93,61.32,46.36,28.64,16.24,13.0,0.53,8.97
49,Estonia,EST,84.1,57.28,52.36,52.09,60.68,78.86,81.96,81.59,71.48
50,Ethiopia,ETH,3.97,2.89,2.77,2.37,2.5,2.66,2.3,1.34,1.88
51,Finland,FIN,74.19,64.45,59.02,57.11,71.47,73.75,69.54,69.77,62.39
52,France,FRA,18.22,13.23,12.6,12.16,18.02,25.74,35.25,25.43,21.34
53,French Guiana,GUF,50.0,50.0,50.0,100.0,100.0,99.9,100.0,99.77,99.82
54,Gabon,GAB,100.0,100.0,100.0,99.98,99.71,98.65,99.29,87.23,93.12
55,Gambia,GMB,4.45,2.65,2.47,2.53,3.59,4.33,4.51,4.59,4.59
56,Georgia,GEO,2.36,3.93,3.92,4.56,4.1,3.84,4.22,4.28,3.76
57,Germany,DEU,37.25,33.58,33.18,32.65,33.73,37.9,44.83,37.89,36.15
58,Ghana,GHA,41.74,41.25,41.01,36.06,24.38,23.92,25.92,15.36,19.54
59,Gibraltar,GIB,9.9,7.91,7.82,7.8,10.1,23.11,30.23,20.37,21.34
60,Greece,GRC,34.53,28.45,26.65,22.63,24.0,31.18,35.45,26.9,28.77
61,Guatemala,GTM,92.53,89.52,89.18,77.42,69.1,63.97,72.44,45.54,65.31
62,Guinea,GIN,57.29,48.04,46.25,35.63,23.2,10.9,11.66,5.2,8.05
63,Guinea-Bissau,GNB,0.0,21.73,26.62,60.49,37.77,25.61,27.13,6.35,9.44
64,Guyana,GUY,100.0,100.0,99.99,98.22,91.97,93.28,93.38,71.18,92.03
65,Haiti,HTI,93.8,88.97,87.54,42.2,6.46,3.76,11.12,4.54,3.92
66,Honduras,HND,80.74,77.24,75.38,62.68,56.07,48.35,62.69,49.1,48.39
67,Hungary,HUN,48.09,30.18,28.04,29.56,32.93,38.26,46.04,48.51,30.25
68,India,IND,33.13,32.05,32.07,27.38,19.89,18.88,19.39,0.43,11.29
69,Indonesia,IDN,73.22,74.14,67.45,61.71,61.06,51.34,57.3,37.68,48.14
70,Iran (Islamic Republic of),IRN,8.63,5.48,5.26,4.52,2.63,1.71,1.23,1.17,1.44
71,Iraq,IRQ,5.23,4.41,4.42,4.22,4.23,3.46,2.68,2.65,3.59
72,Ireland,IRL,8.81,8.0,7.75,7.66,6.82,8.84,11.1,8.6,8.24
