,name,iso3,1850,1900,1910,1945,1980,2015,SSP1,SSP3,SSP5
0,Afghanistan,AFG,9.47,9.22,9.85,8.29,3.76,3.51,5.03,2.85,3.5
1,Albania,ALB,41.63,12.24,11.48,14.99,26.83,43.67,47.59,47.3,40.87
2,Algeria,DZA,19.69,7.93,6.3,3.34,1.9,1.25,0.7,0.76,1.06
3,Angola,AGO,31.65,42.27,45.61,62.68,77.86,74.68,67.02,17.91,45.73
4,Argentina,ARG,43.68,30.19,21.84,6.58,4.49,2.98,4.06,2.34,2.44
5,Armenia,ARM,12.99,8.82,8.45,7.74,7.39,4.93,5.72,3.77,5.64
6,Aruba,ABW,50.0,50.0,50.0,50.0,0.5,0.5,0.5,0.5,0.5
7,Australia,AUS,26.19,22.14,18.86,1.05,2.76,2.76,2.76,2.84,2.75
8,Austria,AUT,20.7,14.73,14.22,13.99,17.89,26.61,30.59,29.13,19.68
9,Azerbaijan,AZE,0.44,1.1,1.22,1.22,1.64,1.24,1.13,1.13,1.12
10,Bahrain,BHR,50.0,100.0,100.0,100.0,80.98,9.94,50.0,0.0,50.0
11,Bangladesh,BGD,3.39,3.46,3.67,3.55,1.77,1.21,1.44,1.14,1.72
12,Belarus,BLR,43.16,30.79,28.92,28.31,21.18,23.52,29.01,27.84,22.8
13,Belgium,BEL,17.56,14.76,14.35,13.13,15.43,11.48,15.35,13.08,13.28
14,Belize,BLZ,93.84,90.56,88.91,73.23,57.09,38.82,61.59,36.73,51.39
15,Benin,BEN,6.24,6.81,7.0,8.82,7.79,2.72,2.53,2.18,2.16
16,Bolivia,BOL,77.03,76.6,75.69,69.09,48.51,31.91,48.56,26.54,29.64
17,Bosnia and Herzegovina,BIH,62.82,6.36,3.41,5.16,14.8,71.43,79.03,78.48,65.14
18,Botswana,BWA,50.0,50.0,50.0,73.09,52.59,25.09,25.1,19.39,26.85
19,Brazil,BRA,85.54,84.35,83.26,75.88,53.08,35.25,36.17,27.69,27.52
20,Brunei Darussalam,BRN,50.0,50.0,50.0,100.02,99.95,94.61,97.86,97.31,90.49
21,Bulgaria,BGR,52.98,45.87,42.29,32.2,21.73,27.47,30.58,21.62,26.51
22,Burkina Faso,BFA,2.98,1.81,1.5,1.24,1.27,1.27,1.27,1.36,1.31
23,Burma,MMR,32.55,30.65,29.6,25.96,17.14,8.78,10.64,9.07,12.8
24,Burundi,BDI,18.76,17.02,16.71,11.67,7.53,6.55,6.4,2.45,4.59
25,Cambodia,KHM,39.25,36.69,35.64,32.5,25.62,15.98,16.56,16.07,18.48
26,Cameroon,CMR,39.7,36.51,34.72,16.38,11.33,7.65,10.89,3.51,4.72
27,Canada,CAN,38.3,23.76,23.12,16.6,11.17,14.43,16.78,10.59,13.22
28,Central African Republic,CAF,4.91,4.95,5.02,3.57,4.95,5.27,5.31,4.55,4.72
29,Chad,TCD,38.43,34.95,34.05,17.87,14.44,8.39,9.97,2.59,2.68
30,Chile,CHL,94.14,91.88,87.0,64.79,37.23,21.54,31.23,17.32,19.15
31,China,CHN,13.01,13.25,12.49,11.74,6.65,4.49,6.32,6.68,4.86
32,Colombia,COL,65.15,56.71,44.47,9.36,5.98,4.4,5.57,4.45,4.36
33,Congo,COG,100.02,100.0,100.0,99.24,82.52,68.75,71.0,38.41,49.51
34,Costa Rica,CRI,96.46,94.84,94.74,82.97,42.38,31.98,55.69,33.77,32.26
35,Cote d'Ivoire,CIV,50.89,50.23,49.79,46.39,28.95,23.94,22.55,18.0,19.7
36,Croatia,HRV,43.04,25.57,23.29,24.89,28.31,41.46,42.05,43.11,37.73
37,Cuba,CUB,96.45,91.09,87.79,60.1,10.6,6.51,16.87,7.32,6.6
38,Cyprus,CYP,67.77,54.27,50.7,51.63,52.49,68.09,74.09,73.79,65.33
39,Czech Republic,CZE,53.61,23.38,22.12,21.94,22.24,29.28,34.56,52.99,27.08
40,Democratic Republic of the Congo,COD,64.44,66.08,66.81,71.76,73.74,71.69,70.47,62.45,66.51
