,name,GRIDCODE,X1_en,X1_va,X1_fo,X2_en,X2_va,X2_fo,X2+Y_en,X2+Y_va,X2+Y_fo
0,Afghanistan,1589158,40270406378.12756,224869129250.35193,1935725563.388586,3345611694.3019876,17978709408.94919,202721864.41998768,2797043843873.625,353073800442.6543,123646798494.03516
1,Albania,87042,35654158080.0,77488235520.0,3653033616.0,31262600576.0,95018928864.0,2605741502.0,4051782123520.0,674343624704.0,150591391232.0
2,Algeria,650105,251757945913.0,2223986854597.0,18593098024.25,65398085701.0,778519685021.0,4560937466.25,10447959190525.0,3625869617149.0,525998244277.0
3,Angola,4400592,6776145.185791016,-105.0,1592333.7364501953,9256330.848632812,462710.390045166,737531.5419921875,2644151746.75,3754544335.75,298694288.375
4,Argentina,9900129,4061093988663.715,1682640242423.995,943957218397.6641,3450868328485.5776,1419890712396.0977,732288821736.3691,150722121094135.3,17698508272851.387,8478536794173.047
5,Armenia,144727,26451165696.0,124912802816.0,1325114198.0,3974203728.0,20057080440.0,198000050.625,823534600192.0,266195068416.0,38621543936.0
6,Aruba,55661,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
7,Australia,12303693,56793070555.0,13978197657.0,2201402718.625,18255550751.0,5434528285.90625,781225380.75,4107071327599.0,204371983067.0,190730908575.0
8,Austria,196207,849808086048.0,3292456950396.0,22808929892.0,222677605968.0,915341158382.0,5956855742.8125,54725200498688.0,7878935724352.0,1637507717760.0
9,Azerbaijan,107218,33494811327.0,59215263871.0,1132082031.0,150888906.5,272196555.0,5050751.25,1242909999103.0,178390117887.0,46442852863.0
10,Bahrain,22911,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,Bangladesh,169658,432847029439.0,1470624660863.0,23895375807.0,15251262367.0,51531567615.0,840032508.25,93639387742207.0,9769612547071.0,1756940779519.0
12,Belarus,309350,30080246084.0,466698170802.0,2359341375.625,25165626688.0,365469317632.0,1791777952.0,5150940672000.0,937165666816.0,293269834496.0
13,Belgium,27729,148916789248.0,4319602540544.0,8372918272.0,33317338112.0,953819463680.0,1784257024.0,5867903385600.0,7298814050304.0,497053794304.0
14,Belize,106206,394459166.25,922625714.5,102454388.125,6745059874.875,13872063253.84375,1561137551.3007812,110334685542.0,36144317248.0,5360339595.25
15,Benin,229699,13623141372.5,2102562826.2890625,1167922714.84375,395568020.00000364,18767189.12500069,77732737.37500009,454277754046.0,24706092014.0,29854058978.0
16,Bolivia,2754741,4338369755.0,5459764417.0,908380157.125,14529831896.84375,14882360054.625,3047443673.5429688,225839251435.5,45213771778.3125,18744210072.75
17,Bosnia and Herzegovina,16398,642606336.0,5062901248.0,36906744.0,1087896448.0,9002458112.0,62361384.0,237350240256.0,44353236992.0,6867705344.0
18,Botswana,1288474,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0
19,Brazil,25916294,35954802744.390625,13396754255.976562,9286113476.173828,215458152529.05176,85129215867.29956,54938015408.59668,3840655399309.625,1045516607376.793,340612741382.7578
20,Brunei Darussalam,92327,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0
21,Bulgaria,120607,350505058864.0,380128962736.0,29705559629.5,406226210048.0,471457519104.0,33479506608.0,18688768540672.0,2415205675008.0,738286336000.0
22,Burkina Faso,251448,28088669218.345703,3461506198.9073486,4610734145.193359,797897802.5,67508113.90234375,141939843.5,1951996908109.25,34537404195.94531,123449230174.78125
23,Burma,1597600,607001523535.25,239106354128.875,51941249875.265625,291595048971.0,110731127177.5,25076852378.515625,31307386217918.0,1172189383080.5,1554050219102.0
24,Burundi,235472,65650228496.75,527673805349.0,13445486169.59375,16033467407.0,58864439739.0,3105406787.0,2409452755967.0,24984458597375.0,383475745855.0
