,name,date,AFG,ALB,DZA,AGO,ARG,ARM,ABW,AUS,AUT,AZE,BHR,BGD,BLR,BEL,BLZ,BEN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,MMR,BDI,KHM,CMR,CAN,CAF,TCD,CHL,CHN,COL,COG,CRI,CIV,HRV,CUB,CYP,CZE,COD,DNK,DJI,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FIN,FRA,GUF,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GTM,GIN,GNB,GUY,HTI,HND,HUN,IND,IDN,IRN,IRQ,IRL,IMN,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,PRK,KOR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LTU,MDG,MWI,MYS,MLI,MLT,MRT,MEX,MNG,MNE,MAR,MOZ,NAM,NPL,NLD,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,PRI,MDA,ROU,RUS,RWA,SAU,SEN,SRB,SLE,SVK,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,SYR,TWN,TJK,THA,MKD,TLS,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VEN,VNM,YEM,ZMB,ZWE,WLD
2,Unmet need,1,48.6,67.82,57.78,48.02,30.53,85.74,50.0,49.29,83.68,90.65,50.0,87.37,39.55,81.91,7.13,75.47,42.78,37.13,50.0,39.85,50.0,25.18,98.32,40.38,43.54,50.13,48.48,43.22,54.28,47.46,47.38,64.0,49.66,47.92,5.69,46.02,27.22,3.91,41.2,48.88,39.3,69.67,50.0,23.49,38.78,58.81,30.28,50.0,48.55,18.29,66.45,11.88,73.07,50.0,47.62,97.54,85.47,60.42,53.44,90.09,46.18,7.41,48.73,60.0,35.71,3.51,8.47,46.58,52.02,17.25,56.1,57.11,81.79,88.83,67.24,59.39,0.66,32.93,53.44,45.07,61.3,31.03,32.69,91.81,68.9,43.62,5.16,68.8,62.3,16.01,40.05,37.5,41.38,59.83,36.88,63.5,80.41,45.32,40.67,51.14,46.98,74.03,50.57,50.0,29.62,84.28,50.0,21.58,52.98,58.64,34.87,20.46,57.46,19.62,17.71,40.77,46.91,44.75,58.7,73.74,20.04,38.85,61.69,40.71,92.42,32.81,82.51,60.83,14.56,34.19,50.0,50.09,39.63,65.68,18.98,52.92,50.0,73.67,47.07,85.59,34.17,99.27,41.86,45.58,8.57,33.33,79.46,41.85,84.81,53.58,31.17,66.66,72.07,63.98,39.55,41.46,89.64,43.78,31.0,52.08,46.33,85.22,49.675123456790125
3,Unmet need,2,50.05,82.71,76.31,48.68,39.78,91.16,50.0,58.6,87.17,91.15,0.0,89.16,56.98,84.57,8.02,78.99,37.52,93.76,50.0,38.32,50.0,40.49,98.69,44.98,37.8,53.11,47.37,44.34,54.73,51.37,44.36,63.18,52.15,45.83,1.78,46.46,43.09,6.94,56.33,77.22,37.58,71.83,50.0,23.35,34.91,61.75,39.85,50.0,47.48,28.17,69.19,19.28,77.9,50.0,45.24,98.5,93.58,64.21,53.46,92.09,52.5,8.8,47.07,39.99,35.71,5.59,10.14,66.33,53.45,13.21,63.63,64.27,80.99,87.39,61.8,64.23,1.08,35.39,53.97,49.35,60.34,28.68,29.17,98.16,72.44,34.3,18.91,83.36,83.96,13.7,47.69,62.0,35.65,61.48,34.33,64.93,81.95,48.42,41.12,50.45,70.88,85.11,50.4,48.33,55.17,85.23,50.0,18.52,56.62,59.35,47.41,18.38,57.77,20.96,10.14,41.02,38.27,33.38,68.81,79.69,22.93,48.31,76.92,47.43,94.31,32.04,83.01,86.45,14.76,65.36,0.0,54.17,38.25,74.03,20.37,54.16,50.0,82.15,59.59,91.63,33.44,99.33,47.88,72.5,9.42,33.35,87.2,43.2,86.86,54.99,45.85,66.67,75.15,65.43,52.05,78.53,90.7,38.53,39.77,58.28,44.88,86.92,53.26969135802469
4,Unmet need,3,49.93,83.96,78.12,47.97,46.39,91.82,50.0,65.7,87.43,96.28,0.0,87.62,59.89,84.96,8.84,79.49,34.27,96.65,50.0,38.59,50.0,49.63,98.79,43.84,38.15,51.36,45.71,45.04,54.73,52.21,40.98,64.88,54.83,45.83,2.09,46.54,45.86,9.66,50.44,78.41,35.7,72.25,50.0,26.51,30.79,62.7,43.77,50.0,47.28,32.59,69.84,23.96,78.55,50.0,45.24,98.58,94.05,64.62,53.73,92.18,54.23,9.0,48.11,39.99,32.14,6.55,11.02,69.0,53.68,15.09,65.18,66.34,81.13,87.42,61.3,66.49,1.08,35.92,57.03,51.66,61.78,28.19,28.89,99.33,74.73,30.07,25.06,86.47,90.1,7.83,51.34,67.69,37.45,61.27,32.44,65.11,82.35,49.36,42.73,50.46,70.18,87.32,49.9,48.33,58.51,85.72,50.0,18.98,59.82,59.71,54.25,18.38,60.01,21.51,7.94,46.34,30.51,32.5,70.64,82.71,24.75,55.1,79.42,53.64,94.48,32.23,83.17,90.5,14.8,68.81,0.0,55.77,43.45,76.18,21.84,55.18,41.67,86.71,63.15,91.76,36.09,99.37,46.51,78.14,10.97,33.35,88.44,43.35,89.12,52.85,52.67,66.67,76.01,64.14,55.7,86.52,90.63,35.19,44.57,58.85,44.38,88.63,54.33493827160493
5,Unmet need,4,47.75,81.83,81.2,49.14,58.37,91.62,50.0,75.85,87.66,96.35,0.0,89.04,61.32,86.18,18.99,95.48,28.13,94.91,50.0,34.18,33.33,52.37,98.89,39.43,49.59,50.88,44.95,51.2,54.46,53.89,39.75,65.46,62.01,33.8,10.13,48.15,44.3,27.32,49.69,78.72,25.77,72.83,50.0,48.1,47.59,68.1,57.62,50.0,48.43,31.81,67.79,25.93,79.05,0.0,35.75,98.14,91.91,65.31,52.92,92.2,56.2,15.91,57.64,31.12,32.76,58.89,21.81,67.33,56.8,21.55,72.38,76.29,81.18,87.42,66.51,67.22,5.37,41.54,65.56,61.4,64.55,33.56,33.68,100.0,84.14,31.09,28.02,96.71,98.04,8.14,46.51,70.21,39.55,64.15,22.62,79.77,82.71,56.2,49.46,50.79,67.26,87.71,53.21,50.62,87.09,86.15,58.6,18.15,60.53,70.69,55.54,17.8,62.59,18.43,6.42,50.78,18.58,27.02,71.68,83.39,33.44,61.43,79.54,52.67,95.3,28.17,83.56,88.1,14.64,68.02,0.0,73.71,77.4,77.69,28.88,58.71,33.33,95.87,64.27,93.67,38.74,99.26,49.15,73.94,22.16,19.0,89.83,49.84,91.4,57.63,57.37,50.0,76.41,73.96,69.15,86.8,99.59,55.36,49.54,61.48,43.68,80.25,56.885987654321006
6,Unmet need,5,53.49,75.68,90.9,49.96,67.07,91.13,50.0,85.11,85.67,91.49,20.15,93.43,69.17,84.04,36.86,95.2,39.08,85.2,43.83,43.54,0.09,54.01,98.85,44.72,68.0,54.83,45.25,55.41,58.25,53.03,46.24,75.76,63.86,13.71,30.88,68.53,40.85,69.74,45.3,78.09,13.72,72.64,50.0,66.61,61.59,74.73,74.09,0.0,65.99,24.88,71.92,14.52,73.51,0.0,15.04,95.72,91.95,64.22,64.69,89.9,48.57,23.34,86.91,63.16,20.73,93.24,36.08,63.45,63.9,24.15,82.82,86.21,81.9,87.38,70.08,59.47,45.36,28.05,68.96,84.18,73.94,32.89,24.45,100.0,98.44,31.18,22.66,98.62,97.58,28.52,48.39,67.56,54.2,70.73,10.63,83.42,80.61,80.52,63.07,51.14,59.25,88.99,59.51,64.37,96.58,88.16,87.3,38.87,63.28,84.96,37.03,57.1,68.29,43.77,6.82,57.58,35.93,20.08,73.41,73.57,64.07,71.8,78.59,47.28,95.09,38.83,95.46,82.7,30.96,60.66,0.0,77.09,87.77,65.5,51.01,63.98,16.67,95.07,47.37,94.72,76.61,99.06,53.09,62.82,30.32,2.75,95.84,58.49,91.79,62.24,67.61,33.26,74.6,80.69,68.71,87.0,99.61,64.37,56.01,58.39,45.65,81.65,60.85580246913581
7,Unmet need,6,54.4,66.53,91.24,47.57,71.77,92.39,50.0,86.22,77.72,87.43,89.12,96.71,66.07,88.04,48.31,96.81,53.14,28.39,41.65,48.4,1.52,38.47,98.73,55.99,78.06,65.33,53.26,52.13,60.8,59.09,46.52,79.66,68.99,13.44,38.39,75.79,26.7,76.33,43.41,71.43,13.79,63.43,50.0,72.65,67.67,79.62,79.52,0.0,68.58,12.94,74.08,12.17,67.34,0.52,9.06,95.05,94.03,59.97,69.72,76.88,38.43,36.71,94.69,75.64,20.85,96.06,43.78,58.24,65.16,31.91,89.85,88.26,75.59,88.71,71.22,51.05,56.74,19.5,69.62,89.08,78.21,31.47,23.56,100.0,98.62,42.47,13.19,98.78,97.51,40.4,52.61,50.26,65.18,76.09,13.64,84.0,64.55,86.53,66.88,51.14,39.14,88.98,62.55,75.58,96.84,87.72,87.35,45.52,65.64,90.13,28.44,75.6,68.12,52.36,7.35,59.28,44.78,25.54,67.25,58.69,77.15,66.68,66.82,46.99,95.48,51.18,93.95,62.46,60.47,53.65,0.54,82.45,86.35,51.39,54.41,72.88,16.74,95.51,34.22,95.63,88.28,99.06,67.43,45.02,54.02,3.33,96.53,61.13,91.79,66.73,62.0,61.92,69.09,83.46,66.38,90.95,99.61,70.03,72.37,72.97,48.74,82.49,62.31043209876544
8,Unmet need,7,53.28,63.44,98.94,35.78,67.98,91.6,50.0,86.89,68.39,84.49,50.0,95.48,60.65,84.34,31.58,96.75,41.64,20.09,40.17,47.34,1.0,36.31,98.73,55.63,77.78,64.24,47.49,48.35,69.0,56.55,45.31,75.85,64.58,14.9,24.78,76.42,24.93,61.96,41.86,64.8,13.08,57.52,50.0,65.23,62.7,96.33,73.71,0.36,69.13,11.31,76.51,16.04,58.39,0.0,8.44,94.94,92.77,53.61,71.46,69.77,36.04,19.75,94.48,73.84,20.86,89.99,29.45,48.59,64.61,27.06,96.91,92.86,73.26,88.87,95.66,44.24,33.43,20.18,88.65,87.69,78.8,28.93,22.09,100.0,98.12,41.41,13.35,98.76,97.64,41.28,98.59,45.13,74.02,76.38,10.78,84.36,59.06,84.92,61.31,51.14,22.83,90.58,56.27,73.89,96.71,85.57,88.29,32.61,64.4,89.62,23.6,91.37,70.15,33.96,6.49,58.73,39.16,25.55,62.19,47.12,69.95,60.03,58.72,44.11,95.76,80.11,93.95,56.56,56.88,27.02,0.0,82.4,86.42,46.25,47.75,78.78,16.75,95.69,32.81,95.58,75.54,99.2,69.36,35.89,28.07,3.83,99.33,56.12,91.96,68.05,56.2,75.3,64.2,80.21,62.93,91.1,99.61,65.06,70.0,85.49,43.43,82.94,60.13283950617286
9,Unmet need,8,62.85,63.79,98.45,92.94,73.75,92.52,50.0,87.64,75.68,84.41,100.0,96.68,61.78,86.54,50.82,96.95,56.39,20.69,56.41,52.8,3.16,40.38,98.63,58.4,91.55,65.3,86.26,55.64,87.98,81.59,49.49,75.73,68.62,46.33,36.39,83.74,24.32,74.27,41.96,48.16,26.31,62.66,50.0,71.79,70.66,95.22,78.43,21.22,85.68,11.58,89.61,15.83,67.44,1.27,13.41,94.88,89.66,59.8,84.61,79.62,40.08,43.17,96.81,92.88,9.11,95.14,47.8,46.7,96.19,35.85,98.02,93.2,75.34,89.31,95.37,50.11,54.82,17.63,88.64,88.41,85.68,34.13,24.83,100.0,98.51,42.83,13.51,98.94,97.39,61.86,93.33,45.26,96.55,94.91,14.47,91.16,68.19,96.33,67.01,51.14,23.87,90.15,87.02,88.94,97.67,87.28,88.27,46.71,91.21,95.38,28.88,98.65,82.65,48.48,7.22,57.26,54.94,28.2,56.18,60.71,77.92,61.65,59.25,43.12,96.52,93.08,93.27,57.04,83.3,27.83,0.59,94.03,92.24,52.56,64.55,89.37,8.58,95.98,37.21,96.57,74.52,99.19,70.33,36.5,57.54,3.74,99.17,64.64,91.95,78.4,56.61,97.48,70.16,89.31,70.48,91.68,99.61,72.07,72.41,88.66,76.63,87.03,67.10938271604937
10,Unmet need,9,58.44,68.22,92.17,54.55,72.88,92.51,50.0,85.67,81.63,89.19,50.0,94.71,66.76,86.35,41.27,96.97,55.27,35.08,38.26,51.23,10.66,39.73,98.68,54.79,85.46,62.44,72.0,52.9,78.8,79.39,48.54,79.08,68.74,35.96,37.99,81.53,29.05,76.12,47.13,73.44,20.96,63.95,50.0,72.53,70.71,84.03,80.15,8.18,71.72,17.4,80.48,21.25,72.14,1.12,7.56,94.89,94.09,61.92,79.62,78.65,41.07,27.5,95.78,87.63,21.24,95.59,43.55,66.88,78.1,30.17,93.75,89.68,77.23,89.59,81.98,58.08,56.76,24.33,74.97,89.19,83.86,32.95,24.21,100.0,98.61,39.64,16.87,98.8,97.62,56.1,62.09,56.0,85.26,84.43,18.46,89.69,67.28,92.55,66.12,50.66,46.62,89.07,67.84,85.7,97.24,87.96,86.62,45.43,79.59,95.26,30.51,81.53,76.66,50.82,7.3,57.2,50.09,29.18,69.39,61.71,77.79,67.42,68.94,47.16,95.66,73.06,93.27,65.06,78.11,54.84,0.59,86.0,88.74,54.5,62.02,83.78,16.84,95.62,40.96,96.01,84.48,99.11,71.21,47.4,35.93,3.74,97.61,62.31,92.3,77.65,63.05,53.28,70.58,85.85,67.95,91.31,99.63,71.0,65.5,76.63,59.59,85.27,65.14
2,Pollination Contribution,1,7.67,46.71,20.62,57.73,45.93,13.06,50.0,24.32,20.76,0.44,50.0,3.4,45.55,18.28,94.47,2.82,77.0,62.86,50.0,85.69,50.0,53.68,2.76,32.45,19.62,38.45,41.59,37.24,6.26,37.96,93.8,13.58,51.08,100.0,96.63,49.9,45.74,96.46,68.0,50.66,63.79,26.16,50.0,68.72,99.44,9.82,69.72,50.0,77.47,84.1,3.97,74.19,18.22,50.0,100.0,4.45,2.36,37.25,41.74,9.9,34.53,92.53,57.29,0.0,100.0,93.8,80.74,48.09,33.13,73.22,8.63,5.23,8.81,11.17,8.06,25.87,98.13,56.82,51.61,10.67,11.37,49.45,44.91,8.18,1.38,51.09,89.48,1.35,54.21,77.21,20.24,57.25,53.9,48.33,76.22,13.2,19.58,40.78,41.95,0.0,35.84,6.35,42.44,50.0,64.64,11.3,50.0,83.02,3.44,26.02,67.66,96.58,13.35,81.59,91.73,92.43,100.0,57.65,34.7,18.46,77.3,54.5,38.3,21.96,8.39,52.53,10.04,35.12,92.02,56.29,50.0,38.95,54.54,25.36,83.39,10.7,50.0,1.02,29.31,15.86,42.07,1.26,41.35,35.91,91.43,100.0,3.12,44.16,2.64,32.68,53.89,0.02,12.64,12.46,36.86,99.85,0.74,60.71,45.78,4.95,96.01,0.03,43.29926395607964
