,name,date,AFG,ALB,DZA,AGO,ARG,ARM,ABW,AUS,AUT,AZE,BHR,BGD,BLR,BEL,BLZ,BEN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,MMR,BDI,KHM,CMR,CAN,CAF,TCD,CHL,CHN,COL,COG,CRI,CIV,HRV,CUB,CYP,CZE,COD,DNK,DJI,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FIN,FRA,GUF,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GTM,GIN,GNB,GUY,HTI,HND,HUN,IND,IDN,IRN,IRQ,IRL,IMN,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,PRK,KOR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LTU,MDG,MWI,MYS,MLI,MLT,MRT,MEX,MNG,MNE,MAR,MOZ,NAM,NPL,NLD,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,PRI,MDA,ROU,RUS,RWA,SAU,SEN,SRB,SLE,SVK,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,SYR,TWN,TJK,THA,MKD,TLS,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VEN,VNM,YEM,ZMB,ZWE,WLD
2,Pollination Contribution,1,7.4,55.08,25.92,100.02,45.76,13.83,50.0,27.99,21.75,0.45,50.0,3.38,43.91,18.08,93.76,0.88,73.16,64.0,50.0,86.4,50.0,55.36,1.91,31.65,10.03,37.79,48.74,53.87,0.81,37.74,94.18,14.44,90.47,50.0,96.61,56.72,48.03,96.45,67.83,54.25,79.76,24.35,50.0,68.15,99.85,9.49,70.24,50.0,80.06,82.21,2.25,68.94,14.83,50.0,100.01,5.8,4.07,28.53,36.83,9.15,34.16,91.25,24.7,50.4,100.0,93.79,85.48,47.53,27.01,62.72,8.76,6.07,7.37,15.51,10.48,25.35,98.12,56.58,54.13,5.47,8.19,51.72,44.15,8.18,1.36,49.94,89.0,1.42,86.39,81.83,20.28,58.55,55.38,49.12,87.91,4.98,19.09,59.85,44.21,50.72,37.77,5.72,58.04,50.0,64.57,11.88,50.0,81.34,7.54,15.67,66.58,98.67,12.69,81.67,91.75,95.38,100.0,57.99,31.81,20.8,78.18,55.21,35.05,21.06,7.68,55.95,3.96,36.0,91.7,60.15,50.0,39.14,53.55,25.8,81.44,11.31,50.0,1.58,24.51,19.55,42.06,0.55,40.8,39.05,92.22,100.0,2.54,43.53,6.12,25.67,58.04,0.02,13.8,12.82,41.95,99.98,0.74,69.18,45.72,8.03,99.21,0.06,44.59320987654323
3,Pollination Contribution,2,6.39,15.02,8.93,100.0,34.94,7.39,50.0,24.45,15.11,1.13,100.0,3.48,29.51,15.2,90.55,1.2,71.94,6.58,50.0,81.54,50.0,48.32,1.75,31.11,7.85,35.22,44.86,32.31,1.0,34.91,92.4,14.73,83.05,100.0,95.05,56.89,29.44,91.09,54.32,23.94,79.39,23.12,50.0,64.0,53.63,7.51,60.37,50.0,68.72,51.21,1.24,59.57,10.74,50.0,100.0,2.65,3.96,24.66,36.01,7.21,27.39,87.2,28.33,100.0,100.0,89.0,82.94,29.88,25.75,58.8,5.47,4.94,6.65,23.83,6.41,20.67,97.22,51.21,44.81,2.63,6.17,56.9,47.4,1.83,1.25,49.39,65.59,1.43,39.94,81.0,9.78,33.09,46.45,49.12,87.68,4.03,17.55,66.13,27.73,50.05,11.78,2.78,57.78,45.97,2.5,10.54,50.0,77.0,8.39,16.23,58.02,97.52,7.67,74.71,90.77,89.38,99.98,58.22,24.45,16.88,75.86,48.91,19.93,10.68,4.14,55.35,3.66,12.53,91.3,31.27,100.0,33.32,60.64,19.88,81.02,10.47,50.0,19.49,13.98,17.5,42.76,0.38,39.64,12.85,91.88,99.96,1.57,42.73,2.43,24.41,48.4,0.0,11.2,12.51,19.31,3.74,0.28,59.32,41.44,10.84,97.67,0.09,39.537901234567926
4,Pollination Contribution,3,6.48,14.19,6.9,99.99,30.37,6.77,50.0,1.23,14.53,1.26,100.0,3.7,27.53,14.78,88.98,1.32,70.35,3.47,50.0,79.18,50.0,44.47,1.7,30.35,7.44,33.99,42.76,31.22,1.07,34.42,88.12,13.99,67.45,100.0,94.97,56.62,26.69,87.69,50.71,22.66,79.8,22.82,50.0,62.19,48.47,7.23,56.15,50.0,63.02,47.44,1.13,54.93,10.26,50.0,100.0,2.33,3.82,24.21,35.73,7.13,25.32,86.81,28.29,100.0,100.0,87.59,81.56,27.98,25.78,50.74,5.24,4.94,6.45,23.8,5.9,19.49,97.22,51.43,40.86,1.95,5.69,56.89,47.86,0.67,1.27,48.78,55.2,1.51,10.38,80.59,8.51,28.11,44.79,49.05,87.23,3.67,17.15,69.74,26.08,50.08,17.05,2.85,57.91,40.26,1.99,9.97,50.0,74.75,8.77,16.52,52.99,97.52,6.49,71.47,89.21,89.82,99.48,57.91,23.63,15.94,73.99,43.24,18.36,9.27,3.81,54.27,3.6,8.72,91.35,28.4,100.0,31.09,47.82,18.01,80.6,10.27,100.13,14.61,12.09,17.18,41.17,0.35,38.47,10.36,90.79,99.96,1.61,42.63,2.21,24.39,42.66,0.0,10.61,12.44,17.71,1.81,0.34,57.03,40.4,10.72,96.69,0.13,38.224876543209895
5,Pollination Contribution,4,6.47,18.68,4.06,99.95,18.16,6.37,50.0,2.17,14.34,1.26,100.0,3.44,26.86,13.49,75.16,1.74,61.23,5.24,17.86,66.42,100.0,33.9,1.44,27.59,4.52,30.32,21.88,28.36,0.08,21.53,63.3,13.39,11.86,100.0,83.84,54.46,28.59,59.47,51.63,22.59,78.44,22.51,50.0,53.86,32.51,5.82,41.39,50.0,43.83,43.63,1.08,53.34,9.9,100.0,99.94,1.77,5.69,23.23,29.34,7.12,23.04,73.54,36.77,99.34,99.42,42.35,70.53,28.68,21.01,44.23,4.48,5.01,6.37,23.8,5.17,18.94,92.18,41.19,10.19,2.08,2.4,48.75,43.76,0.0,1.71,45.01,52.6,1.48,2.25,82.74,7.02,26.99,32.55,47.19,73.66,0.83,16.8,73.47,18.7,64.97,19.0,3.19,58.15,14.35,7.49,9.36,13.47,59.44,7.1,15.67,50.88,95.88,4.06,52.28,89.46,59.37,91.59,58.37,23.26,14.72,68.69,37.36,18.42,9.08,2.57,49.99,2.66,10.48,94.37,29.15,100.0,4.86,3.83,17.18,67.99,6.78,100.0,7.17,11.49,12.91,40.05,0.92,34.53,14.25,79.93,92.8,1.69,36.75,2.91,24.86,38.03,1.21,10.23,8.09,8.88,1.75,0.46,27.59,37.79,12.2,71.46,1.93,33.62117283950616
6,Pollination Contribution,5,5.14,33.53,2.86,96.44,15.41,6.23,0.5,5.0,18.35,1.74,79.22,1.05,20.1,15.84,53.87,1.97,40.2,15.04,53.93,48.27,99.99,22.49,1.22,19.46,1.76,22.13,11.67,21.54,0.13,16.84,34.17,8.47,4.64,98.46,44.48,42.09,32.68,10.39,52.53,22.89,81.46,22.54,50.0,26.96,14.15,3.29,25.39,100.0,30.16,52.99,1.14,64.92,14.58,100.0,99.68,2.92,4.58,23.05,16.8,9.35,28.2,66.58,15.63,44.46,91.86,6.52,63.77,30.45,13.85,44.56,2.58,4.95,5.71,23.88,5.07,24.89,56.48,53.96,2.01,2.01,1.97,51.4,59.44,0.0,1.47,31.78,50.92,1.33,2.05,24.3,3.06,29.87,26.24,35.33,74.15,1.9,18.89,52.67,10.45,80.59,25.25,3.58,46.95,3.4,2.24,7.11,10.55,47.94,7.14,9.65,63.02,86.55,3.04,32.07,89.08,30.74,67.11,60.91,22.65,20.92,43.04,27.07,19.01,13.29,2.45,38.07,1.97,14.49,61.52,35.85,100.0,0.3,3.81,25.96,40.83,5.29,100.0,7.38,23.44,10.32,10.17,1.37,24.32,26.02,71.41,91.11,0.88,29.32,3.13,24.89,27.9,4.28,10.73,6.53,9.03,2.95,0.44,15.79,30.85,12.29,73.85,1.85,28.796358024691354
7,Pollination Contribution,6,5.07,56.61,1.41,94.75,14.58,4.01,0.5,5.03,25.54,1.29,11.39,0.6,21.71,11.69,37.63,1.69,25.6,71.8,25.89,35.38,89.88,28.31,1.07,10.66,1.72,12.89,7.95,29.24,0.42,7.89,17.9,6.08,2.81,94.02,33.59,35.91,46.44,6.37,68.14,30.31,77.44,28.52,0.5,20.14,10.53,1.59,20.01,100.0,24.4,74.57,1.52,68.15,20.37,99.91,96.73,3.52,3.57,24.11,17.47,22.76,36.47,62.65,3.74,30.38,94.07,3.79,56.81,35.33,13.08,40.97,1.67,4.09,7.77,14.97,4.66,29.79,40.51,64.01,0.95,1.74,2.75,51.97,59.98,0.0,1.45,16.73,60.62,1.15,2.09,10.28,2.29,44.24,21.65,24.2,55.44,0.86,35.22,34.37,10.23,0.0,42.6,3.81,36.39,2.11,2.19,8.2,9.1,39.14,3.65,6.21,65.73,54.27,3.09,25.97,88.15,6.36,43.44,51.1,27.35,36.45,28.47,32.43,30.53,13.02,2.37,23.23,0.8,34.46,28.24,42.3,99.52,0.3,3.46,36.81,51.02,4.02,99.82,6.42,35.83,8.1,4.25,1.36,12.05,42.44,46.19,88.97,0.85,28.36,3.13,21.34,33.11,3.45,14.17,7.05,9.14,3.44,0.44,8.5,18.94,9.75,80.98,2.74,26.29419753086418
8,Pollination Contribution,7,5.31,61.09,0.47,94.81,15.91,4.76,0.5,5.1,28.49,1.17,50.0,0.56,27.67,15.57,59.88,1.42,39.52,77.78,25.91,36.26,93.6,31.53,1.08,14.22,1.71,13.18,12.92,36.5,0.42,9.32,26.8,8.05,4.27,95.14,58.12,31.51,47.13,16.58,74.38,35.08,76.3,35.44,0.5,27.12,13.57,0.4,26.21,100.0,21.08,78.19,1.42,64.08,27.89,100.0,99.27,3.8,4.61,26.88,19.03,29.8,40.52,69.4,4.12,32.59,94.3,11.22,69.7,45.29,13.92,47.75,1.21,3.23,10.04,13.01,4.2,36.67,67.52,64.29,0.19,1.88,3.91,55.91,60.4,0.0,1.29,17.19,62.5,1.24,2.0,14.31,0.03,49.28,30.24,21.86,62.43,0.85,40.83,37.89,10.54,80.59,59.09,3.49,37.83,2.31,2.14,10.44,9.05,55.81,3.72,7.35,66.1,16.4,3.35,37.93,89.5,14.59,50.65,59.02,30.34,46.44,35.0,38.63,38.63,15.71,2.19,7.37,0.75,40.51,30.51,68.05,100.0,0.23,3.18,40.35,57.31,4.73,99.78,6.28,38.47,9.0,10.05,1.1,14.47,48.23,73.29,87.0,0.78,32.01,2.83,20.95,39.35,3.09,19.62,10.45,10.8,3.02,0.44,14.85,21.19,3.57,68.46,2.21,29.83728395061728
9,Pollination Contribution,8,4.69,60.77,0.55,87.49,12.58,3.29,0.5,5.28,28.23,1.18,0.0,0.48,26.35,13.26,35.26,1.4,20.79,77.36,19.53,28.38,94.14,22.66,1.07,12.65,0.8,12.93,3.41,20.31,0.41,0.88,13.87,8.43,2.89,56.98,35.43,24.24,48.36,7.16,74.08,53.34,65.09,28.01,0.5,20.89,8.11,0.43,21.35,59.61,1.05,77.7,0.98,64.29,20.54,99.82,77.48,3.67,4.63,25.14,11.49,19.96,33.35,41.18,2.1,9.89,64.0,4.58,55.88,47.15,0.32,34.25,1.15,3.19,7.49,12.7,4.56,30.23,42.21,69.29,0.2,1.7,3.66,49.32,58.52,0.0,1.32,16.55,61.61,1.07,2.1,10.77,0.11,50.34,2.04,4.4,48.86,0.54,31.54,17.11,9.47,54.38,57.49,3.48,5.94,5.15,2.0,7.82,9.11,38.41,1.14,4.94,64.62,0.5,2.36,27.32,88.14,3.92,21.79,57.27,35.34,29.75,27.97,37.16,37.97,16.69,1.62,1.42,0.68,40.01,12.59,67.33,99.47,0.14,2.75,37.48,37.79,1.04,99.35,5.42,33.78,6.78,10.07,1.11,14.38,47.66,42.48,87.36,0.75,25.26,2.83,16.18,38.9,0.63,13.07,4.14,7.64,2.88,0.44,4.91,19.11,0.68,13.52,5.88,23.549938271604947
10,Pollination Contribution,9,4.85,52.77,1.17,89.03,13.24,4.29,0.5,4.71,19.36,1.16,50.0,0.53,21.2,13.46,48.37,1.37,23.41,66.74,27.92,30.93,91.41,27.34,1.07,15.3,1.34,14.3,5.48,27.65,0.41,0.94,15.48,6.44,2.84,71.38,33.84,25.42,42.28,6.46,65.39,27.96,65.94,27.89,0.5,20.24,9.97,1.08,19.43,78.52,18.21,68.07,1.35,57.1,16.66,99.84,89.65,3.67,3.47,22.84,14.09,20.98,33.7,63.54,2.91,15.83,91.48,3.95,56.79,28.19,7.85,42.34,1.41,4.19,7.3,12.67,4.43,21.96,40.38,56.66,0.63,1.72,7.23,51.03,59.44,0.0,1.36,18.75,55.4,1.37,1.89,11.4,2.05,38.67,19.12,10.97,57.9,0.54,32.47,18.74,9.58,8.79,38.47,2.83,15.54,5.47,2.11,7.11,9.06,39.45,1.43,4.97,61.16,41.13,2.73,26.14,88.17,4.71,32.66,55.33,25.9,33.75,27.93,31.55,28.48,13.22,2.0,12.33,0.68,31.77,17.59,41.14,99.47,0.2,3.13,34.13,36.5,2.69,99.48,5.67,31.34,8.06,5.31,1.28,14.54,39.67,64.99,87.36,0.67,27.37,2.82,16.38,32.4,2.5,13.23,7.29,8.22,2.99,0.42,6.7,25.03,5.88,34.16,4.2,24.263950617283946
2,Unmet Need,1,49.85,66.91,55.32,48.75,30.55,87.97,50.0,49.29,82.07,90.62,50.0,87.34,39.56,82.25,6.56,71.4,43.06,36.0,50.0,39.85,50.0,25.93,99.02,40.34,45.76,50.44,46.75,46.88,54.61,51.1,47.39,64.39,49.02,50.0,5.38,45.57,27.41,3.91,41.24,46.93,40.96,72.39,50.0,22.97,38.73,58.86,29.75,50.0,48.24,22.16,66.56,16.33,75.5,50.0,47.62,96.83,84.94,62.26,53.42,90.85,45.81,9.84,48.73,60.0,46.43,3.51,7.2,48.48,52.08,17.85,56.37,61.72,71.6,84.48,67.95,59.56,0.67,32.98,51.19,44.76,60.32,30.37,32.95,91.81,68.94,43.73,5.44,71.07,61.29,15.44,40.1,36.36,40.46,58.71,36.82,64.25,80.91,45.56,41.42,51.14,47.5,74.31,50.02,50.0,29.55,83.94,50.0,21.5,53.08,58.99,35.67,20.46,57.68,19.62,17.69,40.64,46.91,44.75,59.29,74.84,19.45,37.85,61.57,41.05,93.7,32.77,81.45,60.3,14.65,34.81,50.0,50.11,39.65,65.63,19.28,52.95,50.0,73.94,54.05,84.23,34.12,99.26,41.93,43.46,7.78,33.33,79.86,42.21,84.13,56.09,31.1,66.66,72.18,62.69,40.46,41.45,89.65,44.81,30.95,51.71,46.87,85.21,49.85111111111109
